,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
0,2020-01-22,1114,34,XX,0,0,0,0,0,0,0.59,3.27,0.01,-50.65,7.93,19.85,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,8680.8759765625,22600204051
1,2020-01-23,1314,36,XX,1097,540,60,30,34,17,0.71,4.27,0.07,-46.36,9.79,21.91,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,8406.515625,25770680779
2,2020-01-24,1888,52,XX,941,-156,39,-21,26,-8,0.79,5.36,0.05,-53.81,11.64,24.7,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,8445.4345703125,24397913026
3,2020-01-25,2874,84,XX,1434,493,42,3,42,16,1.06,6.21,0.08,-49.36,12.47,28.89,8440.119140625,8458.453125,8296.21875,8367.84765625,8367.84765625,19647331549
4,2020-01-26,4240,112,XX,2116,682,56,14,56,14,1.44,7.91,0.08,-46.65,11.92,31.91,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,8596.830078125,22177678796
5,2020-01-27,5858,164,XX,2925,809,65,9,82,26,1.34,8.93,0.1,-53.16,14.81,37.63,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,8909.8193359375,28647338393
6,2020-01-28,11160,262,XX,5576,2651,108,43,131,49,0.99,7.79,0.18,-61.93,15.25,31.94,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,9358.58984375,34398744403
7,2020-01-29,12338,266,XX,6160,584,127,19,133,2,1.07,9.06,0.19,-57.25,17.16,34.2,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,9316.6298828125,30682598115
8,2020-01-30,16474,342,XX,8228,2068,145,18,171,38,1.22,9.82,0.26,-51.85,17.69,36.28,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,9508.9931640625,32378792851
9,2020-01-31,19854,426,XX,9918,1690,225,80,213,42,1.34,9.85,0.38,-52.19,19.05,37.71,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,9350.529296875,29432489719
10,2020-02-01,24076,518,XX,12030,2112,287,62,259,46,1.48,11.27,0.51,-49.37,19.86,40.39,9346.357421875,9439.3232421875,9313.2392578125,9392.875,9392.875,25922656496
11,2020-02-02,33574,724,XX,16779,4749,476,189,362,103,1.49,10.41,0.46,-49.67,20.72,42.32,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,9344.365234375,30835736946
12,2020-02-03,39774,852,XX,19873,3094,627,151,426,64,1.48,12.33,0.45,-49.64,21.17,45.81,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,9293.521484375,30934096509
13,2020-02-04,47798,984,XX,23882,4009,857,230,492,66,1.74,11.12,0.45,-52.89,20.0,38.57,9292.841796875,9331.265625,9112.8115234375,9180.962890625,9180.962890625,29893183716
14,2020-02-05,55288,1128,XX,27624,3742,1129,272,564,72,1.27,10.5,0.46,-52.33,19.13,37.03,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,9613.423828125,35222060874
